id,name,team_id,team_name,position,price,ownership,status,chance,minutes,total_points,form,ppg,ep_next,ep_this,goals,assists,clean_sheets,bonus,bps,ict,creativity,threat,influence,starts,news,fixture_next3,fixture_next6,expected_minutes,expected_gw_points,value,captain_score,differential_score,transfer_score,recommendation
411,Haaland,15,Man City,FWD,15.5,70.7,a,100.0,2953.0,239.0,0.0,6.8,4.0,0.0,27.0,8.0,13.0,43.0,952.0,302.3,320.1,1520.0,1180.4,34.0,,0.5833333333333334,0.5,72.0,4.181,0.269741935483871,52.67041666666667,25.498705161290324,4.501909435483871,BUY
426,B.Fernandes,16,Man Utd,MID,12.0,48.9,a,100.0,3065.0,235.0,0.0,6.7,4.0,0.0,9.0,24.0,7.0,41.0,1008.0,381.4,1938.5,614.0,1258.0,35.0,,0.6666666666666666,0.5416666666666666,72.3,4.029,0.33575,51.32895833333333,24.74701333333333,4.5220996187499996,BUY
4,Gabriel,1,Arsenal,DEF,8.0,28.7,a,100.0,2750.0,209.0,0.0,6.5,4.0,0.0,3.0,5.0,18.0,30.0,724.0,125.0,128.5,298.0,824.0,30.0,,0.4166666666666667,0.5,73.2,3.536,0.442,45.71825,22.085856000000003,4.03269,BUY
12,Saka,1,Arsenal,MID,9.5,9.7,a,100.0,2218.0,157.0,0.0,5.1,3.2,0.0,7.0,10.0,12.0,18.0,570.0,230.6,847.6,828.0,627.0,25.0,,0.4166666666666667,0.5,70.7,3.14,0.3305263157894737,41.96069444444445,19.89596159844055,3.584430188596492,BUY
397,Semenyo,15,Man City,MID,8.5,26.5,a,100.0,3200.0,202.0,0.0,5.5,2.9,0.0,17.0,6.0,12.0,18.0,678.0,257.7,607.4,1047.0,923.2,37.0,,0.5833333333333334,0.5,69.0,3.125,0.36764705882352944,42.043749999999996,19.083333333333336,3.6306069852941176,BUY
399,Cherki,15,Man City,MID,7.5,8.0,a,100.0,1772.0,135.0,0.0,4.1,2.6,0.0,4.0,13.0,8.0,16.0,580.0,218.1,996.6,579.0,604.2,19.0,,0.5833333333333334,0.5,69.6,2.939,0.3918666666666667,40.19708333333333,18.841901955555556,3.5839449400000003,BUY
480,Gibbs-White,18,Nott'm Forest,MID,8.0,11.9,a,100.0,3101.0,188.0,0.0,5.1,2.8,0.0,15.0,4.0,10.0,18.0,712.0,242.5,747.7,836.0,843.8,35.0,,0.5,0.5,69.6,2.957,0.369625,40.24166666666667,18.612310444444443,3.4887767708333333,BUY
452,Bruno G.,1,Arsenal,MID,7.0,9.0,a,100.0,2456.0,154.0,0.0,5.3,2.5,0.0,9.0,7.0,6.0,22.0,681.0,202.9,756.7,488.0,782.4,27.0,,0.4166666666666667,0.5,69.4,2.874,0.4105714285714286,39.27180555555556,18.39794666666667,3.4197740571428574,BUY
400,Doku,15,Man City,MID,7.5,6.4,a,100.0,1773.0,120.0,0.0,4.0,2.6,0.0,5.0,8.0,8.0,15.0,526.0,202.5,841.6,645.0,540.2,19.0,,0.5833333333333334,0.5,69.6,2.833,0.37773333333333337,39.13708333333333,18.31091191111111,3.49089418,BUY
387,O'Reilly,15,Man City,DEF,6.5,21.6,a,100.0,2643.0,160.0,0.0,4.7,3.1,0.0,5.0,4.0,14.0,10.0,567.0,164.1,413.9,573.0,653.8,29.0,,0.5833333333333334,0.5,70.9,2.889,0.4444615384615384,39.72597222222222,17.997877384615382,3.5462557557692307,BUY
428,Cunha,16,Man Utd,MID,8.0,11.3,a,100.0,2493.0,143.0,0.0,4.3,2.8,0.0,10.0,4.0,8.0,14.0,591.0,202.5,545.4,801.0,675.8,29.0,,0.6666666666666666,0.5416666666666666,68.6,2.857,0.357125,39.526736111111106,17.955785629629627,3.5078621354166666,BUY
106,Thiago,4,Brentford,FWD,8.0,17.6,a,100.0,3282.0,181.0,0.0,4.8,2.5,0.0,22.0,1.0,10.0,22.0,710.0,256.9,382.5,1170.0,1019.4,37.0,,0.5833333333333334,0.4583333333333333,68.9,2.917,0.364625,39.925069444444446,17.87349640740741,3.4360447135416665,BUY
398,Foden,15,Man City,MID,7.0,4.9,a,100.0,2078.0,131.0,0.0,4.0,2.5,0.0,7.0,5.0,11.0,13.0,563.0,201.9,918.8,520.0,583.2,23.0,,0.5833333333333334,0.5,69.4,2.729,0.38985714285714285,38.092638888888885,17.814487407407405,3.4221019857142863,BUY
439,Šeško,16,Man Utd,FWD,7.0,1.7,d,75.0,1630.0,111.0,0.0,3.7,1.7,0.0,11.0,2.0,2.0,19.0,405.0,143.4,156.1,803.0,483.8,17.0,Shin injury - 75% chance of playing,0.6666666666666666,0.5416666666666666,69.0,2.682,0.3831428571428571,37.785624999999996,17.73224126984127,3.465303619047619,BUY
95,O.Dango,4,Brentford,MID,6.5,1.4,a,100.0,2271.0,136.0,0.0,4.2,2.3,0.0,7.0,8.0,6.0,16.0,429.0,162.8,422.8,702.0,509.8,25.0,,0.5833333333333334,0.4583333333333333,69.0,2.656,0.40861538461538466,37.31729166666667,17.647871452991456,3.382152217948718,BUY
527,Richarlison,19,Spurs,FWD,6.0,2.5,a,100.0,1954.0,119.0,0.0,3.7,2.0,0.0,11.0,4.0,7.0,17.0,505.0,165.2,239.6,815.0,602.6,20.0,,0.5833333333333334,0.5,69.0,2.655,0.44249999999999995,37.34374999999999,17.620311111111114,3.4236360416666662,BUY
