id,name,team_name,team_id,position,price,ownership,expected_minutes,expected_gw_points,value,fixture_next3,next5_avg_difficulty,xgi_proxy,transfer_score,captain_score,differential_score,recommendation
426,B.Fernandes,Man Utd,16,MID,12.0,48.9,90.0,4.24,0.3533,0.667,2.8,1.0,6.067,5.224,7.507,BUY
350,A.Becker,Liverpool,14,GKP,5.5,3.9,90.0,3.399,0.618,0.583,2.6,0.05,5.818,2.502,7.741,BUY
411,Haaland,Man City,15,FWD,15.5,70.6,90.0,4.12,0.2658,0.583,2.8,1.0,5.746,5.189,7.102,BUY
1,Raya,Arsenal,1,GKP,6.0,34.1,90.0,3.88,0.6467,0.417,3.2,0.05,5.72,3.346,7.139,BUY
4,Gabriel,Arsenal,1,DEF,8.0,28.7,90.0,3.88,0.485,0.417,3.2,0.469,5.627,3.668,7.011,BUY
384,Donnarumma,Man City,15,GKP,5.5,9.8,90.0,3.399,0.618,0.583,2.8,0.05,5.562,2.502,7.112,BUY
226,Pickford,Everton,9,GKP,5.5,8.5,90.0,3.201,0.582,0.417,3.0,0.05,5.242,2.264,6.805,BUY
351,Mamardashvili,Liverpool,14,GKP,5.0,0.2,90.0,2.678,0.5356,0.583,2.6,0.05,5.154,1.971,7.021,BUY
529,Roefs,Sunderland,20,GKP,5.0,4.8,90.0,2.756,0.5512,0.667,3.2,0.05,5.119,2.068,6.721,BUY
356,Virgil,Liverpool,14,DEF,6.5,17.9,90.0,3.193,0.4912,0.583,2.6,0.521,5.083,2.596,6.213,BUY
387,O'Reilly,Man City,15,DEF,6.5,21.6,90.0,3.193,0.4912,0.583,2.8,0.879,5.083,2.655,6.213,BUY
392,Aït-Nouri,Man City,15,DEF,5.5,1.0,90.0,2.575,0.4682,0.583,2.8,0.254,5.037,2.066,6.826,BUY
390,Rúben,Man City,15,DEF,5.5,1.6,90.0,2.575,0.4682,0.583,2.8,0.122,5.011,2.045,6.762,BUY
393,Khusanov,Man City,15,DEF,5.5,1.8,90.0,2.575,0.4682,0.583,2.8,0.186,5.003,2.055,6.74,BUY
84,Collins,Brentford,4,DEF,5.5,2.0,90.0,2.575,0.4682,0.583,3.0,0.395,4.994,2.089,6.719,BUY
498,Senesi,Spurs,19,DEF,6.0,9.6,90.0,2.884,0.4807,0.583,2.8,0.625,4.992,2.37,6.351,BUY
428,Cunha,Man Utd,16,MID,8.0,11.3,90.0,2.968,0.371,0.667,2.8,1.0,4.985,3.822,6.225,BUY
357,Frimpong,Liverpool,14,DEF,5.5,3.2,90.0,2.575,0.4682,0.583,2.6,0.205,4.942,2.058,6.591,BUY
467,Sels,Nott'm Forest,18,GKP,5.0,1.6,90.0,2.6,0.52,0.5,3.0,0.05,4.93,1.876,6.682,BUY
12,Saka,Arsenal,1,MID,9.5,9.7,90.0,3.104,0.3267,0.417,3.2,1.0,4.916,3.774,6.302,BUY
82,Kelleher,Brentford,4,GKP,5.0,5.9,90.0,2.678,0.5356,0.583,3.0,0.05,4.907,1.971,6.413,BUY
358,Kerkez,Liverpool,14,DEF,5.5,4.4,90.0,2.575,0.4682,0.583,2.6,0.219,4.89,2.06,6.463,BUY
154,Palmer,Chelsea,6,MID,9.5,10.6,90.0,3.104,0.3267,0.417,3.0,1.0,4.877,3.774,6.206,BUY
419,Martinez,Man Utd,16,DEF,5.0,0.7,90.0,2.332,0.4664,0.667,2.8,0.075,4.872,1.882,6.584,BUY
472,Murillo,Nott'm Forest,18,DEF,5.5,1.2,90.0,2.5,0.4545,0.5,3.0,0.12,4.867,1.947,6.617,BUY
367,Gakpo,Liverpool,14,MID,7.0,3.6,90.0,2.575,0.3679,0.583,2.6,1.0,4.854,3.334,6.45,BUY
427,Mbeumo,Man Utd,16,MID,8.0,30.6,90.0,2.968,0.371,0.667,2.8,1.0,4.825,3.822,5.83,BUY
471,Milenković,Nott'm Forest,18,DEF,5.5,2.2,90.0,2.5,0.4545,0.5,3.0,0.151,4.824,1.952,6.51,BUY
400,Doku,Man City,15,MID,7.5,6.4,90.0,2.678,0.3571,0.583,2.8,0.873,4.817,3.376,6.266,BUY
398,Foden,Man City,15,MID,7.0,4.9,90.0,2.575,0.3679,0.583,2.8,1.0,4.797,3.334,6.312,BUY
238,Grealish,Man City,15,MID,6.5,0.1,90.0,2.369,0.3645,0.583,2.8,0.541,4.794,2.859,6.538,BUY
28,Martinez,Aston Villa,2,GKP,5.0,4.8,90.0,2.6,0.52,0.5,3.0,0.05,4.791,1.876,6.34,BUY
442,Pope,Newcastle,17,GKP,5.0,1.3,90.0,2.522,0.5044,0.417,3.0,0.05,4.778,1.783,6.523,BUY
417,Dalot,Man Utd,16,DEF,5.0,3.0,90.0,2.332,0.4664,0.667,2.8,0.45,4.772,1.943,6.339,BUY
388,Guéhi,Man City,15,DEF,6.0,20.3,90.0,2.884,0.4807,0.583,2.8,0.642,4.758,2.373,5.775,BUY
399,Cherki,Man City,15,MID,7.5,8.0,90.0,2.678,0.3571,0.583,2.8,1.0,4.748,3.445,6.095,BUY
397,Semenyo,Man City,15,MID,8.5,26.5,90.0,2.987,0.3514,0.583,2.8,1.0,4.744,3.78,5.753,BUY
501,Danso,Spurs,19,DEF,5.0,0.2,90.0,2.266,0.4532,0.583,2.8,0.09,4.741,1.796,6.463,BUY
140,Sánchez,Chelsea,6,GKP,5.0,2.2,90.0,2.522,0.5044,0.417,3.0,0.05,4.739,1.783,6.427,BUY
95,O.Dango,Brentford,4,MID,6.5,1.4,90.0,2.369,0.3645,0.583,3.0,1.0,4.737,3.111,6.399,BUY
532,Ballard,Sunderland,20,DEF,5.0,4.7,90.0,2.332,0.4664,0.667,3.2,0.309,4.698,1.92,6.158,BUY
198,Henderson,Crystal Palace,8,GKP,5.0,3.2,90.0,2.522,0.5044,0.417,3.0,0.05,4.696,1.783,6.321,BUY
230,Branthwaite,Everton,9,DEF,5.5,1.8,90.0,2.425,0.4409,0.417,3.0,0.045,4.679,1.839,6.366,BUY
412,Lammens,Man Utd,16,GKP,5.0,18.4,90.0,2.756,0.5512,0.667,2.8,0.05,4.677,2.068,5.633,BUY
415,Dorgu,Man Utd,16,MID,6.0,1.6,90.0,2.226,0.371,0.667,2.8,0.423,4.663,2.687,6.258,BUY
431,Amad,Man Utd,16,MID,6.0,1.6,90.0,2.226,0.371,0.667,2.8,1.0,4.663,3.004,6.258,BUY
420,Yoro,Man Utd,16,DEF,5.0,0.8,85.0,2.202,0.4404,0.667,2.8,0.193,4.66,1.772,6.318,BUY
229,Tarkowski,Everton,9,DEF,6.0,9.5,90.0,2.716,0.4527,0.417,3.0,0.463,4.654,2.128,5.961,BUY
543,Diarra,Sunderland,20,MID,5.5,0.1,90.0,2.12,0.3855,0.667,3.2,0.412,4.647,2.564,6.308,WATCH
549,Talbi,Sunderland,20,MID,5.5,0.2,90.0,2.12,0.3855,0.667,3.2,0.33,4.642,2.519,6.298,WATCH
43,Tielemans,Man Utd,16,MID,6.0,2.1,90.0,2.226,0.371,0.667,2.8,0.44,4.642,2.696,6.205,BUY
9,Hincapie,Arsenal,1,DEF,5.5,2.8,90.0,2.425,0.4409,0.417,3.2,0.203,4.636,1.865,6.259,BUY
10,White,Arsenal,1,DEF,5.5,2.9,90.0,2.425,0.4409,0.417,3.2,0.114,4.632,1.851,6.248,BUY
480,Gibbs-White,Nott'm Forest,18,MID,8.0,11.9,90.0,2.8,0.35,0.5,3.0,1.0,4.622,3.518,5.769,BUY
