id,name,team_name,team_id,position,price,ownership,expected_minutes,expected_gw_points,value,fixture_next3,next5_avg_difficulty,xgi_proxy,transfer_score,captain_score,differential_score,recommendation
426,B.Fernandes,Man Utd,16,MID,12.0,48.9,90.0,4.072,0.3393,0.667,2.8,1.0,4.258,4.748,11.174,AVOID
411,Haaland,Man City,15,FWD,15.5,70.7,90.0,4.072,0.2627,0.583,2.8,1.0,3.903,4.614,10.624,AVOID
4,Gabriel,Arsenal,1,DEF,8.0,28.7,90.0,3.928,0.491,0.417,3.2,0.469,4.258,3.989,11.144,AVOID
1,Raya,Arsenal,1,GKP,6.0,34.1,90.0,3.928,0.6547,0.417,3.2,0.05,4.749,3.829,11.963,AVOID
350,A.Becker,Liverpool,14,GKP,5.5,3.9,90.0,3.419,0.6216,0.583,2.6,0.05,5.73,3.539,14.073,WATCH
387,O'Reilly,Man City,15,DEF,6.5,21.6,90.0,3.156,0.4855,0.583,2.8,0.879,4.067,3.536,9.906,AVOID
356,Virgil,Liverpool,14,DEF,6.5,17.9,90.0,3.212,0.4942,0.583,2.6,0.521,4.124,3.481,10.061,AVOID
384,Donnarumma,Man City,15,GKP,5.5,9.8,90.0,3.359,0.6107,0.583,2.8,0.05,5.075,3.477,12.325,AVOID
154,Palmer,Chelsea,6,MID,9.5,10.6,90.0,3.2,0.3368,0.417,3.0,1.0,3.836,3.414,10.091,AVOID
12,Saka,Arsenal,1,MID,9.5,9.7,90.0,3.142,0.3307,0.417,3.2,1.0,3.875,3.353,10.184,AVOID
397,Semenyo,Man City,15,MID,8.5,26.5,90.0,2.952,0.3473,0.583,2.8,1.0,3.54,3.345,8.807,AVOID
428,Cunha,Man Utd,16,MID,8.0,11.3,90.0,2.85,0.3563,0.667,2.8,1.0,4.006,3.323,9.801,AVOID
427,Mbeumo,Man Utd,16,MID,8.0,30.6,90.0,2.85,0.3563,0.667,2.8,1.0,3.636,3.323,8.815,AVOID
226,Pickford,Everton,9,GKP,5.5,8.5,90.0,3.3,0.6,0.417,3.0,0.05,4.89,3.217,12.167,AVOID
388,Guéhi,Man City,15,DEF,6.0,20.3,90.0,2.85,0.475,0.583,2.8,0.642,3.868,3.124,9.242,AVOID
498,Senesi,Spurs,19,DEF,6.0,9.6,90.0,2.85,0.475,0.583,2.8,0.625,4.408,3.119,10.682,AVOID
480,Gibbs-White,Nott'm Forest,18,MID,8.0,11.9,90.0,2.8,0.35,0.5,3.0,1.0,3.65,3.08,9.177,AVOID
366,Wirtz,Liverpool,14,MID,7.5,14.7,90.0,2.694,0.3592,0.583,2.6,1.0,3.464,3.052,8.431,AVOID
399,Cherki,Man City,15,MID,7.5,8.0,90.0,2.647,0.3529,0.583,2.8,1.0,4.09,2.999,10.092,AVOID
400,Doku,Man City,15,MID,7.5,6.4,90.0,2.647,0.3529,0.583,2.8,0.873,4.25,2.964,10.519,AVOID
379,Isak,Liverpool,14,FWD,9.0,15.3,90.0,2.797,0.3108,0.583,2.6,0.267,3.346,2.958,8.315,AVOID
367,Gakpo,Liverpool,14,MID,7.0,3.6,90.0,2.59,0.37,0.583,2.6,1.0,4.55,2.934,11.237,AVOID
368,Szoboszlai,Liverpool,14,MID,7.0,41.2,90.0,2.59,0.37,0.583,2.6,1.0,3.409,2.934,8.197,AVOID
398,Foden,Man City,15,MID,7.0,4.9,90.0,2.545,0.3636,0.583,2.8,1.0,4.375,2.883,10.768,AVOID
229,Tarkowski,Everton,9,DEF,6.0,9.5,90.0,2.8,0.4667,0.417,3.0,0.463,4.115,2.842,10.233,AVOID
