id,name,team_name,team_id,position,price,ownership,expected_minutes,expected_gw_points,value,fixture_next3,next5_avg_difficulty,xgi_proxy,transfer_score,captain_score,differential_score,recommendation
350,A.Becker,Liverpool,14,GKP,5.5,3.9,90.0,3.399,0.618,0.583,2.6,0.05,5.818,2.502,7.741,BUY
384,Donnarumma,Man City,15,GKP,5.5,9.8,90.0,3.399,0.618,0.583,2.8,0.05,5.562,2.502,7.112,BUY
351,Mamardashvili,Liverpool,14,GKP,5.0,0.2,90.0,2.678,0.5356,0.583,2.6,0.05,5.154,1.971,7.021,BUY
392,Aït-Nouri,Man City,15,DEF,5.5,1.0,90.0,2.575,0.4682,0.583,2.8,0.254,5.037,2.066,6.826,BUY
226,Pickford,Everton,9,GKP,5.5,8.5,90.0,3.201,0.582,0.417,3.0,0.05,5.242,2.264,6.805,BUY
390,Rúben,Man City,15,DEF,5.5,1.6,90.0,2.575,0.4682,0.583,2.8,0.122,5.011,2.045,6.762,BUY
393,Khusanov,Man City,15,DEF,5.5,1.8,90.0,2.575,0.4682,0.583,2.8,0.186,5.003,2.055,6.74,BUY
529,Roefs,Sunderland,20,GKP,5.0,4.8,90.0,2.756,0.5512,0.667,3.2,0.05,5.119,2.068,6.721,BUY
84,Collins,Brentford,4,DEF,5.5,2.0,90.0,2.575,0.4682,0.583,3.0,0.395,4.994,2.089,6.719,BUY
467,Sels,Nott'm Forest,18,GKP,5.0,1.6,90.0,2.6,0.52,0.5,3.0,0.05,4.93,1.876,6.682,BUY
472,Murillo,Nott'm Forest,18,DEF,5.5,1.2,90.0,2.5,0.4545,0.5,3.0,0.12,4.867,1.947,6.617,BUY
357,Frimpong,Liverpool,14,DEF,5.5,3.2,90.0,2.575,0.4682,0.583,2.6,0.205,4.942,2.058,6.591,BUY
419,Martinez,Man Utd,16,DEF,5.0,0.7,90.0,2.332,0.4664,0.667,2.8,0.075,4.872,1.882,6.584,BUY
238,Grealish,Man City,15,MID,6.5,0.1,90.0,2.369,0.3645,0.583,2.8,0.541,4.794,2.859,6.538,BUY
442,Pope,Newcastle,17,GKP,5.0,1.3,90.0,2.522,0.5044,0.417,3.0,0.05,4.778,1.783,6.523,BUY
471,Milenković,Nott'm Forest,18,DEF,5.5,2.2,90.0,2.5,0.4545,0.5,3.0,0.151,4.824,1.952,6.51,BUY
358,Kerkez,Liverpool,14,DEF,5.5,4.4,90.0,2.575,0.4682,0.583,2.6,0.219,4.89,2.06,6.463,BUY
501,Danso,Spurs,19,DEF,5.0,0.2,90.0,2.266,0.4532,0.583,2.8,0.09,4.741,1.796,6.463,BUY
367,Gakpo,Liverpool,14,MID,7.0,3.6,90.0,2.575,0.3679,0.583,2.6,1.0,4.854,3.334,6.45,BUY
140,Sánchez,Chelsea,6,GKP,5.0,2.2,90.0,2.522,0.5044,0.417,3.0,0.05,4.739,1.783,6.427,BUY
82,Kelleher,Brentford,4,GKP,5.0,5.9,90.0,2.678,0.5356,0.583,3.0,0.05,4.907,1.971,6.413,BUY
95,O.Dango,Brentford,4,MID,6.5,1.4,90.0,2.369,0.3645,0.583,3.0,1.0,4.737,3.111,6.399,BUY
230,Branthwaite,Everton,9,DEF,5.5,1.8,90.0,2.425,0.4409,0.417,3.0,0.045,4.679,1.839,6.366,BUY
498,Senesi,Spurs,19,DEF,6.0,9.6,90.0,2.884,0.4807,0.583,2.8,0.625,4.992,2.37,6.351,BUY
28,Martinez,Aston Villa,2,GKP,5.0,4.8,90.0,2.6,0.52,0.5,3.0,0.05,4.791,1.876,6.34,BUY
