id,name,team_name,team_id,position,price,ownership,expected_minutes,expected_gw_points,value,fixture_next3,next5_avg_difficulty,xgi_proxy,transfer_score,captain_score,differential_score,recommendation
426,B.Fernandes,Man Utd,16,MID,12.0,48.9,90.0,4.24,0.3533,0.667,2.8,1.0,6.067,5.224,7.507,BUY
350,A.Becker,Liverpool,14,GKP,5.5,3.9,90.0,3.399,0.618,0.583,2.6,0.05,5.818,2.502,7.741,BUY
411,Haaland,Man City,15,FWD,15.5,70.6,90.0,4.12,0.2658,0.583,2.8,1.0,5.746,5.189,7.102,BUY
1,Raya,Arsenal,1,GKP,6.0,34.1,90.0,3.88,0.6467,0.417,3.2,0.05,5.72,3.346,7.139,BUY
4,Gabriel,Arsenal,1,DEF,8.0,28.7,90.0,3.88,0.485,0.417,3.2,0.469,5.627,3.668,7.011,BUY
384,Donnarumma,Man City,15,GKP,5.5,9.8,90.0,3.399,0.618,0.583,2.8,0.05,5.562,2.502,7.112,BUY
226,Pickford,Everton,9,GKP,5.5,8.5,90.0,3.201,0.582,0.417,3.0,0.05,5.242,2.264,6.805,BUY
351,Mamardashvili,Liverpool,14,GKP,5.0,0.2,90.0,2.678,0.5356,0.583,2.6,0.05,5.154,1.971,7.021,BUY
529,Roefs,Sunderland,20,GKP,5.0,4.8,90.0,2.756,0.5512,0.667,3.2,0.05,5.119,2.068,6.721,BUY
356,Virgil,Liverpool,14,DEF,6.5,17.9,90.0,3.193,0.4912,0.583,2.6,0.521,5.083,2.596,6.213,BUY
387,O'Reilly,Man City,15,DEF,6.5,21.6,90.0,3.193,0.4912,0.583,2.8,0.879,5.083,2.655,6.213,BUY
392,Aït-Nouri,Man City,15,DEF,5.5,1.0,90.0,2.575,0.4682,0.583,2.8,0.254,5.037,2.066,6.826,BUY
390,Rúben,Man City,15,DEF,5.5,1.6,90.0,2.575,0.4682,0.583,2.8,0.122,5.011,2.045,6.762,BUY
393,Khusanov,Man City,15,DEF,5.5,1.8,90.0,2.575,0.4682,0.583,2.8,0.186,5.003,2.055,6.74,BUY
84,Collins,Brentford,4,DEF,5.5,2.0,90.0,2.575,0.4682,0.583,3.0,0.395,4.994,2.089,6.719,BUY
498,Senesi,Spurs,19,DEF,6.0,9.6,90.0,2.884,0.4807,0.583,2.8,0.625,4.992,2.37,6.351,BUY
428,Cunha,Man Utd,16,MID,8.0,11.3,90.0,2.968,0.371,0.667,2.8,1.0,4.985,3.822,6.225,BUY
357,Frimpong,Liverpool,14,DEF,5.5,3.2,90.0,2.575,0.4682,0.583,2.6,0.205,4.942,2.058,6.591,BUY
467,Sels,Nott'm Forest,18,GKP,5.0,1.6,90.0,2.6,0.52,0.5,3.0,0.05,4.93,1.876,6.682,BUY
12,Saka,Arsenal,1,MID,9.5,9.7,90.0,3.104,0.3267,0.417,3.2,1.0,4.916,3.774,6.302,BUY
82,Kelleher,Brentford,4,GKP,5.0,5.9,90.0,2.678,0.5356,0.583,3.0,0.05,4.907,1.971,6.413,BUY
358,Kerkez,Liverpool,14,DEF,5.5,4.4,90.0,2.575,0.4682,0.583,2.6,0.219,4.89,2.06,6.463,BUY
154,Palmer,Chelsea,6,MID,9.5,10.6,90.0,3.104,0.3267,0.417,3.0,1.0,4.877,3.774,6.206,BUY
419,Martinez,Man Utd,16,DEF,5.0,0.7,90.0,2.332,0.4664,0.667,2.8,0.075,4.872,1.882,6.584,BUY
472,Murillo,Nott'm Forest,18,DEF,5.5,1.2,90.0,2.5,0.4545,0.5,3.0,0.12,4.867,1.947,6.617,BUY
